id,time_steps,vi_train_time, rl_train_time,model,Ts,Tt,vi_reward,rl_reward,vi_ns,rl_ns,vi_distance,rl_distance,N
6,5000000,Not Calculated,0 days 00:02:02.010314000,ACER,1,1,-5.228379999999909,-5.220639999999707,4.4008,4.3922,16.5516,16.5688,20
1,3000,,0 days 00:00:06.651413000,ACER,1,1000,-538.5039,-749.7614,10.5589,4.7014,10.5589,14.9012,20
2,3000,,0 days 00:00:08.437903000,ACER,1,750,-401.91305,-443.8373,10.4393,7.6223,10.4393,11.6324,20
3,3000,,0 days 00:00:07.188387000,ACER,1,500,-273.6318,-389.7896,10.5243,4.6046,10.5243,15.4074,20
4,3000,,0 days 00:00:06.655772000,ACER,1,400,-220.2711,-302.8226,10.4891,4.6026,10.4891,14.911,20
5,3000,,0 days 00:00:06.855972000,ACER,1,300,-167.0736,-232.4568,10.4421,4.7898,10.4421,15.1778,20
6,3000,,0 days 00:00:06.462253000,ACER,1,200,-114.7916,-141.8212,10.4356,6.5292,10.4356,13.5292,20
7,3000,,0 days 00:00:06.979229000,ACER,1,100,-62.9366,-78.0522,9.6561,5.3352,10.6561,14.5434,20
8,3000,,0 days 00:00:08.040206000,ACER,1,50,-35.16255,-47.48645,7.1968,4.3972,11.1863,17.2357,20
9,3000,Not Calculated,0 days 00:00:06.905830000,ACER,1,1,-5.22740499999993,-5.274774999999962,4.3999,4.4549,16.5501,16.3975,20
11,3000,,0 days 00:00:07.626449000,ACER,1,1000,-563.4834,-566.3979,2.8034,2.8179,2.8034,2.8179,5
13,3000,,0 days 00:00:12.482907000,ACER,1,750,-421.6524,-424.2043,2.7924,2.8093,2.7924,2.8093,5
12,10000,Not Calculated,0 days 00:00:32.137613000,ACER,1,1000,-562.1769,-562.7598,2.7969,2.7998,2.7969,2.7998,5
14,3000,,0 days 00:00:08.652547000,ACER,1,500,-282.3152,-281.7294,2.7952,2.7894,2.7952,2.7894,5
16,3000,,0 days 00:00:10.435749000,ACER,1,400,-228.5091,-224.8317,2.8211,2.7757,2.8211,2.7757,5
15,10000,Not Calculated,0 days 00:00:32.291871000,ACER,1,750,-425.0197,-422.8755,2.8147,2.8005,2.8147,2.8005,5
18,3000,,0 days 00:00:10.708027000,ACER,1,300,-170.4584,-170.8793,2.7944,2.8013,2.7944,2.8013,5
20,3000,,0 days 00:00:10.933602000,ACER,1,200,-114.3203,-114.5376,2.7883,2.7936,2.7883,2.7936,5
19,10000,Not Calculated,0 days 00:00:32.960220000,ACER,1,500,-281.8203,-282.1536,2.7903,2.7936,2.7903,2.7936,5
21,3000,,0 days 00:00:10.438915000,ACER,1,100,-58.7937,-59.3124,2.7997,2.8244,2.7997,2.8244,5
23,3000,,0 days 00:00:10.448313000,ACER,1,50,-30.701,-30.8737,2.791,2.8067,2.791,2.8067,5
22,10000,Not Calculated,0 days 00:00:32.515679000,ACER,1,400,-225.9819,-227.4642,2.7899,2.8082,2.7899,2.8082,5
24,3000,Not Calculated,0 days 00:00:10.700003000,ACER,1,1,-3.078919999999475,-3.077359999999478,2.3991,2.3978,3.3991,3.3978,5
25,10000,Not Calculated,0 days 00:00:28.439054000,ACER,1,300,-170.8427,-170.5194,2.8007,2.7954,2.8007,2.7954,5
26,10000,Not Calculated,0 days 00:00:24.240168000,ACER,1,200,-114.5991,-114.2752,2.7951,2.7872,2.7951,2.7872,5
27,10000,Not Calculated,0 days 00:00:23.733397000,ACER,1,100,-58.8252,-58.611,2.8012,2.791,2.8012,2.791,5
28,10000,Not Calculated,0 days 00:00:25.032621000,ACER,1,50,-30.8858,-31.0563,2.8078,2.8233,2.8078,2.8233,5
29,10000,Not Calculated,0 days 00:00:27.627541000,ACER,1,1,-3.0743599999994755,-3.078199999999466,2.3953,2.3985,3.3953,3.3985,5
30,300000,Not Calculated,0 days 00:17:10.530995000,ACER,1,1000,-551.9617,-998.8542,29.0919,499.4271,522.8698,499.4271,1000
31,300000,Not Calculated,0 days 00:16:42.194721000,ACER,1,750,-417.594275,-437.19885,26.1554,58.6161,521.9185,504.777,1000
32,300000,Not Calculated,0 days 00:16:58.556815000,ACER,1,500,-288.3672,-754.2636,22.8805,502.8424,530.9734,502.8424,1000
33,300000,Not Calculated,0 days 00:17:04.854843000,ACER,1,400,-232.66369999999915,-486.2222800000005,21.0929,286.2336,528.927,499.9717,1000
34,300000,Not Calculated,0 days 00:16:55.229923000,ACER,1,300,-181.06745000000205,-236.82745,19.5269,84.1873,538.4685,508.8005,1000
35,300000,Not Calculated,0 days 00:16:40.564424000,ACER,1,200,-125.84939999999997,-259.0338,17.2896,93.7737,542.799,826.3005,1000
36,300000,Not Calculated,0 days 00:16:45.941178000,ACER,1,100,-71.02605999999953,-74.4578599999993,14.6431,14.1543,563.8296,603.0356,1000
37,300000,Not Calculated,0 days 00:16:38.494702000,ACER,1,50,-42.31398499999999,-43.08395500000001,12.859,13.0694,589.0997,600.2911,1000
38,300000,Not Calculated,0 days 00:16:40.480687000,ACER,1,1,-10.929900000000302,-10.972664899999836,10.0606,10.1012,869.3,871.4649,1000
39,300000,Not Calculated,0 days 00:16:56.301153000,ACER,1,1000,-554.2947,-623.0837,29.2075,120.5467,525.0872,502.537,1000
40,300000,Not Calculated,0 days 00:16:59.715648000,ACER,1,500,-286.87165,-320.7883,22.7078,53.6426,528.3277,534.2914,1000
41,300000,Not Calculated,0 days 00:16:50.312566000,ACER,1,400,-235.05548000000059,-239.31724000000014,21.2638,30.2492,534.4792,522.6701,1000
42,300000,Not Calculated,0 days 00:16:39.199271000,ACER,1,300,-181.60617000000266,-199.91046000000244,19.5324,30.399,540.2459,565.0382,1000
43,300000,Not Calculated,0 days 00:16:47.168424000,ACER,1,200,-127.17463999999929,-132.69221999999917,17.4508,26.9714,548.6192,528.6041,1000
44,300000,Not Calculated,0 days 00:16:58.378999000,ACER,1,1000,-547.9505,-560.7212,28.9056,53.8819,519.0449,506.8393,1000
45,300000,Not Calculated,0 days 00:16:58.140019000,ACER,1,500,-290.6415,-637.8892,23.0126,388.5425,535.2578,498.6934,1000
46,300000,Not Calculated,0 days 00:16:37.562567000,ACER,1,300,-181.54687000000217,-197.37248999999943,19.5523,28.2081,539.9819,563.8813,1000
47,300000,Not Calculated,0 days 00:17:16.598274000,ACER,1,500,-285.9022,-299.92765,22.666,42.6559,526.4724,514.5435,1000
48,300000,Not Calculated,0 days 00:16:45.967088000,ACER,1,300,-180.13291000000183,-266.82621000000006,19.3843,118.2459,535.8287,495.2677,1000
49,300000,Not Calculated,0 days 00:16:37.155287000,ACER,1,300,-181.43284000000207,-186.54201000000057,19.5334,17.8386,539.6648,562.3447,1000
87,1000,,0 days 00:00:03.466847000,ACER,1,1,-4.17976000000016,-4.496860000000327,3.3998,3.3966,0.7799599999998691,1.100259999999924,10
